strategy,title,kickoff_beijing,bet_side,price_quality,stake,odds,result,hit,net
S1_always_draw,Mexico vs. South Africa,2026-06-12 03:00,draw,high,100.0,4.8216,home,N,-100.0
S1_always_draw,Korea Republic vs. Czechia,2026-06-12 10:00,draw,high,100.0,3.125,home,N,-100.0
S1_always_draw,Canada vs. Bosnia-Herzegovina,2026-06-13 03:00,draw,high,100.0,3.5715,draw,Y,257.15
S1_always_draw,United States vs. Paraguay,2026-06-13 09:00,draw,high,100.0,3.3333,home,N,-100.0
S1_always_draw,Qatar vs. Switzerland,2026-06-14 03:00,draw,high,100.0,7.6923,draw,Y,669.23
S1_always_draw,Brazil vs. Morocco,2026-06-14 06:00,draw,high,100.0,3.8462,draw,Y,284.62
S1_always_draw,Haiti vs. Scotland,2026-06-14 09:00,draw,high,100.0,4.7619,away,N,-100.0
S1_always_draw,Australia vs. Türkiye,2026-06-14 12:00,draw,high,100.0,3.8462,home,N,-100.0
S1_always_draw,Germany vs. Curaçao,2026-06-15 01:00,draw,high,100.0,27.5936,home,N,-100.0
S1_always_draw,Netherlands vs. Japan,2026-06-15 04:00,draw,high,100.0,3.4515,draw,Y,245.15
S1_always_draw,Côte d'Ivoire vs. Ecuador,2026-06-15 07:00,draw,high,100.0,2.9412,home,N,-100.0
S1_always_draw,Sweden vs. Tunisia,2026-06-15 10:00,draw,high,100.0,3.4501,home,N,-100.0
S1_always_draw,Spain vs. Cabo Verde,2026-06-16 00:00,draw,high,100.0,18.7228,draw,Y,1772.28
S1_always_draw,Belgium vs. Egypt,2026-06-16 03:00,draw,high,100.0,4.1689,draw,Y,316.89
S1_always_draw,Saudi Arabia vs. Uruguay,2026-06-16 06:00,draw,high,100.0,4.548,draw,Y,354.8
S1_always_draw,IR Iran vs. New Zealand,2026-06-16 09:00,draw,high,100.0,3.5752,draw,Y,257.52
S1_always_draw,France vs. Senegal,2026-06-17 03:00,draw,high,100.0,4.5553,home,N,-100.0
S1_always_draw,Iraq vs. Norway,2026-06-17 06:00,draw,high,100.0,7.1731,away,N,-100.0
S1_always_draw,Argentina vs. Algeria,2026-06-17 09:00,draw,high,100.0,4.3491,home,N,-100.0
S1_always_draw,Austria vs. Jordan,2026-06-17 12:00,draw,high,100.0,5.1194,home,N,-100.0
S1_always_draw,Portugal vs. DR Congo,2026-06-18 01:00,draw,high,100.0,5.8828,draw,Y,488.28
S1_always_draw,England vs. Croatia,2026-06-18 04:00,draw,high,100.0,3.8462,home,N,-100.0
S1_always_draw,Ghana vs. Panama,2026-06-18 07:00,draw,high,100.0,3.2263,home,N,-100.0
S1_always_draw,Uzbekistan vs. Colombia,2026-06-18 10:00,draw,high,100.0,5.0,away,N,-100.0
S1_always_draw,Czechia vs. South Africa,2026-06-19 00:00,draw,high,100.0,3.7038,draw,Y,270.38
S1_always_draw,Switzerland vs. Bosnia-Herzegovina,2026-06-19 03:00,draw,high,100.0,4.1736,home,N,-100.0
S1_always_draw,Canada vs. Qatar,2026-06-19 06:00,draw,high,100.0,5.8827,home,N,-100.0
S1_always_draw,Mexico vs. Korea Republic,2026-06-19 09:00,draw,high,100.0,3.3334,home,N,-100.0
S1_always_draw,United States vs. Australia,2026-06-20 03:00,draw,high,100.0,4.3777,home,N,-100.0
S1_always_draw,Scotland vs. Morocco,2026-06-20 06:00,draw,high,100.0,3.7046,away,N,-100.0
S1_always_draw,Brazil vs. Haiti,2026-06-20 08:30,draw,high,100.0,12.7793,home,N,-100.0
S1_always_draw,Türkiye vs. Paraguay,2026-06-20 11:00,draw,high,100.0,3.4483,away,N,-100.0
S1_always_draw,Netherlands vs. Sweden,2026-06-21 01:00,draw,high,100.0,4.1667,home,N,-100.0
S1_always_draw,Germany vs. Côte d'Ivoire,2026-06-21 04:00,draw,high,100.0,5.2478,home,N,-100.0
S1_always_draw,Ecuador vs. Curaçao,2026-06-21 08:00,draw,high,100.0,9.0909,draw,Y,809.09
S1_always_draw,Tunisia vs. Japan,2026-06-21 12:00,draw,high,100.0,4.7626,away,N,-100.0
S1_always_draw,Spain vs. Saudi Arabia,2026-06-22 00:00,draw,high,100.0,12.5,home,N,-100.0
S1_always_draw,Belgium vs. IR Iran,2026-06-22 03:00,draw,high,100.0,5.003,draw,Y,400.3
S1_always_draw,Uruguay vs. Cabo Verde,2026-06-22 06:00,draw,high,100.0,4.5455,draw,Y,354.55
S1_always_draw,New Zealand vs. Egypt,2026-06-22 09:00,draw,high,100.0,4.1667,away,N,-100.0
S1_always_draw,Argentina vs. Austria,2026-06-23 01:00,draw,high,100.0,4.5815,home,N,-100.0
S1_always_draw,France vs. Iraq,2026-06-23 05:00,draw,high,100.0,14.2857,home,N,-100.0
S1_always_draw,Norway vs. Senegal,2026-06-23 08:00,draw,high,100.0,3.4483,home,N,-100.0
S1_always_draw,Jordan vs. Algeria,2026-06-23 11:00,draw,high,100.0,4.4618,away,N,-100.0
S1_always_draw,Portugal vs. Uzbekistan,2026-06-24 01:00,draw,high,100.0,9.0919,home,N,-100.0
S1_always_draw,England vs. Ghana,2026-06-24 04:00,draw,high,100.0,7.6923,draw,Y,669.23
S1_always_draw,Panama vs. Croatia,2026-06-24 07:00,draw,high,100.0,4.7637,away,N,-100.0
S1_always_draw,Colombia vs. DR Congo,2026-06-24 10:00,draw,high,100.0,4.1682,home,N,-100.0
S1_always_draw,Switzerland vs. Canada,2026-06-25 03:00,draw,high,100.0,3.0813,home,N,-100.0
S1_always_draw,Bosnia-Herzegovina vs. Qatar,2026-06-25 03:00,draw,high,100.0,5.8824,home,N,-100.0
S1_always_draw,Morocco vs. Haiti,2026-06-25 06:00,draw,high,100.0,7.1429,home,N,-100.0
S1_always_draw,Scotland vs. Brazil,2026-06-25 06:00,draw,high,100.0,5.8824,away,N,-100.0
S1_always_draw,Czechia vs. Mexico,2026-06-25 09:00,draw,high,100.0,4.1667,away,N,-100.0
S1_always_draw,South Africa vs. Korea Republic,2026-06-25 09:00,draw,high,100.0,3.8462,home,N,-100.0
S1_always_draw,Ecuador vs. Germany,2026-06-26 04:00,draw,high,100.0,4.9228,home,N,-100.0
S1_always_draw,Curaçao vs. Côte d'Ivoire,2026-06-26 04:00,draw,high,100.0,8.4425,away,N,-100.0
S1_always_draw,Japan vs. Sweden,2026-06-26 07:00,draw,high,100.0,3.5587,draw,Y,255.87
S1_always_draw,Tunisia vs. Netherlands,2026-06-26 07:00,draw,high,100.0,11.1111,away,N,-100.0
S1_always_draw,Paraguay vs. Australia,2026-06-26 10:00,draw,high,100.0,2.3921,draw,Y,139.21
S1_always_draw,Türkiye vs. United States,2026-06-26 10:00,draw,high,100.0,4.348,home,N,-100.0
S1_always_draw,Norway vs. France,2026-06-27 03:00,draw,high,100.0,5.5572,away,N,-100.0
S1_always_draw,Senegal vs. Iraq,2026-06-27 03:00,draw,medium,100.0,7.1429,home,N,-100.0
S1_always_draw,Cabo Verde vs. Saudi Arabia,2026-06-27 08:00,draw,high,100.0,3.449,draw,Y,244.9
S1_always_draw,Uruguay vs. Spain,2026-06-27 08:00,draw,high,100.0,3.8461,away,N,-100.0
S1_always_draw,Egypt vs. IR Iran,2026-06-27 11:00,draw,high,100.0,2.7778,draw,Y,177.78
S1_always_draw,New Zealand vs. Belgium,2026-06-27 11:00,draw,high,100.0,8.4208,away,N,-100.0
S1_always_draw,Panama vs. England,2026-06-28 05:00,draw,high,100.0,9.0989,away,N,-100.0
S1_always_draw,Croatia vs. Ghana,2026-06-28 05:00,draw,high,100.0,3.3305,home,N,-100.0
S1_always_draw,Colombia vs. Portugal,2026-06-28 07:30,draw,high,100.0,4.1672,draw,Y,316.72
S1_always_draw,Algeria vs. Austria,2026-06-28 10:00,draw,high,100.0,2.1303,draw,Y,113.03
S1_always_draw,South Africa vs. Canada,2026-06-29 03:00,draw,high,100.0,3.4485,away,N,-100.0
S1_always_draw,Brazil vs. Japan,2026-06-30 01:00,draw,high,100.0,3.7039,home,N,-100.0
S1_always_draw,Netherlands vs. Morocco,2026-06-30 09:00,draw,high,100.0,3.1286,draw,Y,212.86
S1_always_draw,United States vs. Bosnia and Herzegovina,2026-07-02 08:00,draw,high,100.0,5.2632,home,N,-100.0
S1_always_draw,Germany vs. Paraguay,2026-06-30 04:30,draw,high,100.0,5.265,draw,Y,426.5
S1_always_draw,Côte d'Ivoire vs. Norway,2026-07-01 01:00,draw,high,100.0,3.4483,away,N,-100.0
S1_always_draw,France vs. Sweden,2026-07-01 05:00,draw,high,100.0,6.2638,home,N,-100.0
S1_always_draw,Australia vs. Egypt,2026-07-04 02:00,draw,high,100.0,2.9412,draw,Y,194.12
S1_always_draw,Argentina vs. Cabo Verde,2026-07-04 06:00,draw,high,100.0,9.0922,draw,Y,809.22
S1_always_draw,Mexico vs. Ecuador,2026-07-01 09:00,draw,high,100.0,2.9412,home,N,-100.0
S1_always_draw,England vs. DR Congo,2026-07-02 00:00,draw,high,100.0,5.3207,home,N,-100.0
S1_always_draw,Belgium vs. Senegal,2026-07-02 04:00,draw,high,100.0,3.3333,draw,Y,233.33
S1_always_draw,Spain vs. Austria,2026-07-03 03:00,draw,high,100.0,5.9696,home,N,-100.0
S1_always_draw,Portugal vs. Croatia,2026-07-03 07:00,draw,high,100.0,3.78,home,N,-100.0
S1_always_draw,Switzerland vs. Algeria,2026-07-03 11:00,draw,high,100.0,3.2787,home,N,-100.0
S1_always_draw,Colombia vs. Ghana,2026-07-04 09:30,draw,high,100.0,4.5502,home,N,-100.0
S1_always_draw,Canada vs. Morocco,2026-07-05 01:00,draw,high,100.0,3.4483,away,N,-100.0
S1_always_draw,Paraguay vs. France,2026-07-05 05:00,draw,high,100.0,7.1463,away,N,-100.0
S1_always_draw,Brazil vs. Norway,2026-07-06 04:00,draw,high,100.0,3.7037,away,N,-100.0
S1_always_draw,Mexico vs. England,2026-07-06 08:00,draw,high,100.0,3.1299,away,N,-100.0
S1_always_draw,United States vs. Belgium,2026-07-07 08:00,draw,high,100.0,3.4483,away,N,-100.0
S1_always_draw,Portugal vs. Spain,2026-07-07 03:00,draw,high,100.0,3.5714,away,N,-100.0
S1_always_draw,Argentina vs. Egypt,2026-07-08 00:00,draw,high,100.0,5.0,home,N,-100.0
S1_always_draw,Switzerland vs. Colombia,2026-07-08 04:00,draw,high,100.0,3.0303,draw,Y,203.03
S1_always_draw,France vs. Morocco,2026-07-10 04:00,draw,high,100.0,3.9613,home,N,-100.0
S1_always_draw,Norway vs. England,2026-07-12 05:00,draw,high,100.0,4.041,draw,Y,304.1
S1_always_draw,Spain vs. Belgium,2026-07-11 03:00,draw,high,100.0,4.0473,home,N,-100.0
S1_always_draw,Argentina vs. Switzerland,2026-07-12 09:00,draw,high,100.0,3.6365,draw,Y,263.65
S1_always_draw,France vs. Spain,2026-07-15 03:00,draw,high,100.0,3.1008,away,N,-100.0
S1_always_draw,England vs. Argentina,2026-07-16 03:00,draw,high,100.0,2.9851,away,N,-100.0
S1_always_draw,France vs. England,2026-07-19 05:00,draw,high,100.0,4.3478,away,N,-100.0
S1_always_draw,Spain vs. Argentina,2026-07-20 03:00,draw,high,100.0,3.125,draw,Y,212.5
S2_always_home,Mexico vs. South Africa,2026-06-12 03:00,home,high,100.0,1.4299,home,Y,42.99
S2_always_home,Korea Republic vs. Czechia,2026-06-12 10:00,home,high,100.0,2.6349,home,Y,163.49
S2_always_home,Canada vs. Bosnia-Herzegovina,2026-06-13 03:00,home,high,100.0,1.852,draw,N,-100.0
S2_always_home,United States vs. Paraguay,2026-06-13 09:00,home,high,100.0,2.1295,home,Y,112.95
S2_always_home,Qatar vs. Switzerland,2026-06-14 03:00,home,high,100.0,16.6667,draw,N,-100.0
S2_always_home,Brazil vs. Morocco,2026-06-14 06:00,home,high,100.0,1.6951,draw,N,-100.0
S2_always_home,Haiti vs. Scotland,2026-06-14 09:00,home,high,100.0,6.25,away,N,-100.0
S2_always_home,Australia vs. Türkiye,2026-06-14 12:00,home,high,100.0,5.5556,home,Y,455.56
