year,match_index,date,time,kickoff_utc,stage,competition_phase,group_code,group_matchday,home_team,away_team,home_country_code,away_country_code,home_is_host,away_is_host,home_confederation,away_confederation,home_continent,away_continent,same_confederation,same_continent,score_regular_home,score_regular_away,score_regular,result_regular,is_draw_regular,went_extra_time,went_penalties,score_extra_time,score_penalties,ground,source,home_rest_days,home_matches_played_prior,home_group_points_prior,home_group_goal_diff_prior,away_rest_days,away_matches_played_prior,away_group_points_prior,away_group_goal_diff_prior,rest_days_diff
2002,1,2002-05-31,,,group_stage,group,A,1,France,Senegal,FRA,SEN,N,N,UEFA,CAF,Europe,Africa,N,N,0,1,0-1,away,N,N,N,,,"Seoul World Cup Stadium, Seoul",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,2,2002-06-01,,,group_stage,group,A,1,Uruguay,Denmark,URU,DEN,N,N,CONMEBOL,UEFA,South America,Europe,N,N,1,2,1-2,away,N,N,N,,,"Munsu Cup Stadium, Ulsan",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,3,2002-06-06,,,group_stage,group,A,2,France,Uruguay,FRA,URU,N,N,UEFA,CONMEBOL,Europe,South America,N,N,0,0,0-0,draw,Y,N,N,,,"Asiad Main Stadium, Busan",openfootball/worldcup.json,,1,0,-1,,1,0,-1,
2002,4,2002-06-06,,,group_stage,group,A,2,Denmark,Senegal,DEN,SEN,N,N,UEFA,CAF,Europe,Africa,N,N,1,1,1-1,draw,Y,N,N,,,"Daegu World Cup Stadium, Daegu",openfootball/worldcup.json,,1,3,1,,1,3,1,
2002,5,2002-06-11,,,group_stage,group,A,3,Denmark,France,DEN,FRA,N,N,UEFA,UEFA,Europe,Europe,Y,Y,2,0,2-0,home,N,N,N,,,"Incheon Munhak Stadium, Incheon",openfootball/worldcup.json,,2,4,1,,2,1,-1,
2002,6,2002-06-11,,,group_stage,group,A,3,Senegal,Uruguay,SEN,URU,N,N,CAF,CONMEBOL,Africa,South America,N,N,3,3,3-3,draw,Y,N,N,,,"Suwon World Cup Stadium, Suwon",openfootball/worldcup.json,,2,4,1,,2,1,-1,
2002,7,2002-06-02,,,group_stage,group,B,1,Paraguay,South Africa,PAR,RSA,N,N,CONMEBOL,CAF,South America,Africa,N,N,2,2,2-2,draw,Y,N,N,,,"Asiad Main Stadium, Busan",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,8,2002-06-02,,,group_stage,group,B,1,Spain,Slovenia,ESP,SVN,N,N,UEFA,UEFA,Europe,Europe,Y,Y,3,1,3-1,home,N,N,N,,,"Gwangju World Cup Stadium, Gwangju",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,9,2002-06-07,,,group_stage,group,B,2,Spain,Paraguay,ESP,PAR,N,N,UEFA,CONMEBOL,Europe,South America,N,N,3,1,3-1,home,N,N,N,,,"Jeonju World Cup Stadium, Jeonju",openfootball/worldcup.json,,1,3,2,,1,1,0,
2002,10,2002-06-08,,,group_stage,group,B,2,South Africa,Slovenia,RSA,SVN,N,N,CAF,UEFA,Africa,Europe,N,N,1,0,1-0,home,N,N,N,,,"Daegu World Cup Stadium, Daegu",openfootball/worldcup.json,,1,1,0,,1,0,-2,
2002,11,2002-06-12,,,group_stage,group,B,3,South Africa,Spain,RSA,ESP,N,N,CAF,UEFA,Africa,Europe,N,N,2,3,2-3,away,N,N,N,,,"Daejeon World Cup Stadium, Daejeon",openfootball/worldcup.json,,2,4,1,,2,6,4,
2002,12,2002-06-12,,,group_stage,group,B,3,Slovenia,Paraguay,SVN,PAR,N,N,UEFA,CONMEBOL,Europe,South America,N,N,1,3,1-3,away,N,N,N,,,"Jeju World Cup Stadium, Jeju",openfootball/worldcup.json,,2,0,-3,,2,1,-2,
2002,13,2002-06-03,,,group_stage,group,C,1,Brazil,Turkey,BRA,TUR,N,N,CONMEBOL,UEFA,South America,Europe,N,N,2,1,2-1,home,N,N,N,,,"Munsu Cup Stadium, Ulsan",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,14,2002-06-04,,,group_stage,group,C,1,China,Costa Rica,CHN,CRC,N,N,AFC,CONCACAF,Asia,North America,N,N,0,2,0-2,away,N,N,N,,,"Gwangju World Cup Stadium, Gwangju",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,15,2002-06-08,,,group_stage,group,C,2,Brazil,China,BRA,CHN,N,N,CONMEBOL,AFC,South America,Asia,N,N,4,0,4-0,home,N,N,N,,,"Jeju World Cup Stadium, Jeju",openfootball/worldcup.json,,1,3,1,,1,0,-2,
2002,16,2002-06-09,,,group_stage,group,C,2,Costa Rica,Turkey,CRC,TUR,N,N,CONCACAF,UEFA,North America,Europe,N,N,1,1,1-1,draw,Y,N,N,,,"Incheon Munhak Stadium, Incheon",openfootball/worldcup.json,,1,3,2,,1,0,-1,
2002,17,2002-06-13,,,group_stage,group,C,3,Costa Rica,Brazil,CRC,BRA,N,N,CONCACAF,CONMEBOL,North America,South America,N,N,2,5,2-5,away,N,N,N,,,"Suwon World Cup Stadium, Suwon",openfootball/worldcup.json,,2,4,2,,2,6,5,
2002,18,2002-06-13,,,group_stage,group,C,3,Turkey,China,TUR,CHN,N,N,UEFA,AFC,Europe,Asia,N,N,3,0,3-0,home,N,N,N,,,"Seoul World Cup Stadium, Seoul",openfootball/worldcup.json,,2,1,-1,,2,0,-6,
2002,19,2002-06-04,,,group_stage,group,D,1,South Korea,Poland,KOR,POL,Y,N,AFC,UEFA,Asia,Europe,N,N,2,0,2-0,home,N,N,N,,,"Asiad Main Stadium, Busan",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,20,2002-06-05,,,group_stage,group,D,1,USA,Portugal,USA,POR,N,N,CONCACAF,UEFA,North America,Europe,N,N,3,2,3-2,home,N,N,N,,,"Suwon World Cup Stadium, Suwon",openfootball/worldcup.json,,0,0,0,,0,0,0,
2002,21,2002-06-10,,,group_stage,group,D,2,South Korea,USA,KOR,USA,Y,N,AFC,CONCACAF,Asia,North America,N,N,1,1,1-1,draw,Y,N,N,,,"Daegu World Cup Stadium, Daegu",openfootball/worldcup.json,,1,3,2,,1,3,1,
