year,segment,matches,draws_regular,draw_rate_pct
2002,all,64,19,29.69
2002,group_all,48,14,29.17
2002,group_md1,16,4,25.0
2002,group_md2,16,6,37.5
2002,group_md3,16,4,25.0
2002,knockout_all,16,5,31.25
2006,all,64,17,26.56
2006,group_all,48,11,22.92
2006,group_md1,16,3,18.75
2006,group_md2,16,4,25.0
2006,group_md3,16,4,25.0
2006,knockout_all,16,6,37.5
2010,all,64,18,28.12
2010,group_all,48,14,29.17
2010,group_md1,16,6,37.5
2010,group_md2,16,4,25.0
2010,group_md3,16,4,25.0
2010,knockout_all,16,4,25.0
2014,all,64,17,26.56
2014,group_all,48,9,18.75
2014,group_md1,16,2,12.5
2014,group_md2,16,4,25.0
2014,group_md3,16,3,18.75
2014,knockout_all,16,8,50.0
2018,all,64,14,21.88
2018,group_all,48,9,18.75
2018,group_md1,16,3,18.75
2018,group_md2,16,2,12.5
2018,group_md3,16,4,25.0
2018,knockout_all,16,5,31.25
2022,all,64,15,23.44
2022,group_all,48,10,20.83
2022,group_md1,16,5,31.25
2022,group_md2,16,4,25.0
2022,group_md3,16,1,6.25
2022,knockout_all,16,5,31.25
