year,dimension,value,matches,draws_regular,draw_rate_pct
2010,competition_phase,group,48,14,29.17
2010,competition_phase,knockout,16,4,25.0
2010,group_matchday,1,16,6,37.5
2010,group_matchday,2,16,4,25.0
2010,group_matchday,3,16,4,25.0
2010,group_matchday,not_group,16,4,25.0
2010,same_confederation,N,53,17,32.08
2010,same_confederation,Y,11,1,9.09
2010,same_continent,N,53,17,32.08
2010,same_continent,Y,11,1,9.09
2010,host_involved,N,61,17,27.87
2010,host_involved,Y,3,1,33.33
2010,confederation_pair,AFC × CAF,4,2,50.0
2010,confederation_pair,AFC × CONMEBOL,4,1,25.0
2010,confederation_pair,AFC × UEFA,6,0,0.0
2010,confederation_pair,CAF × CONCACAF,3,2,66.67
2010,confederation_pair,CAF × CONMEBOL,4,1,25.0
2010,confederation_pair,CAF × UEFA,9,2,22.22
2010,confederation_pair,CONCACAF × CONMEBOL,3,0,0.0
2010,confederation_pair,CONCACAF × UEFA,5,3,60.0
2010,confederation_pair,CONMEBOL × CONMEBOL,1,0,0.0
2010,confederation_pair,CONMEBOL × OFC,1,1,100.0
2010,confederation_pair,CONMEBOL × UEFA,12,3,25.0
2010,confederation_pair,OFC × UEFA,2,2,100.0
2010,confederation_pair,UEFA × UEFA,10,1,10.0
2014,competition_phase,group,48,9,18.75
2014,competition_phase,knockout,16,8,50.0
2014,group_matchday,1,16,2,12.5
2014,group_matchday,2,16,4,25.0
2014,group_matchday,3,16,3,18.75
2014,group_matchday,not_group,16,8,50.0
2014,same_confederation,N,55,16,29.09
2014,same_confederation,Y,9,1,11.11
2014,same_continent,N,55,16,29.09
2014,same_continent,Y,9,1,11.11
2014,host_involved,N,57,15,26.32
2014,host_involved,Y,7,2,28.57
2014,confederation_pair,AFC × CAF,3,1,33.33
2014,confederation_pair,AFC × CONMEBOL,3,0,0.0
2014,confederation_pair,AFC × UEFA,6,2,33.33
2014,confederation_pair,CAF × CONCACAF,2,0,0.0
2014,confederation_pair,CAF × CONMEBOL,3,0,0.0
2014,confederation_pair,CAF × UEFA,9,3,33.33
2014,confederation_pair,CONCACAF × CONMEBOL,3,1,33.33
2014,confederation_pair,CONCACAF × UEFA,11,5,45.45
2014,confederation_pair,CONMEBOL × CONMEBOL,3,1,33.33
2014,confederation_pair,CONMEBOL × UEFA,15,4,26.67
2014,confederation_pair,UEFA × UEFA,6,0,0.0
2018,competition_phase,group,48,9,18.75
2018,competition_phase,knockout,16,5,31.25
2018,group_matchday,1,16,3,18.75
2018,group_matchday,2,16,2,12.5
2018,group_matchday,3,16,4,25.0
2018,group_matchday,not_group,16,5,31.25
2018,same_confederation,N,49,8,16.33
2018,same_confederation,Y,15,6,40.0
2018,same_continent,N,49,8,16.33
2018,same_continent,Y,15,6,40.0
2018,host_involved,N,59,12,20.34
2018,host_involved,Y,5,2,40.0
2018,confederation_pair,AFC × CAF,3,1,33.33
2018,confederation_pair,AFC × CONCACAF,1,0,0.0
2018,confederation_pair,AFC × CONMEBOL,3,0,0.0
2018,confederation_pair,AFC × UEFA,9,2,22.22
2018,confederation_pair,CAF × CONCACAF,1,0,0.0
2018,confederation_pair,CAF × CONMEBOL,3,0,0.0
2018,confederation_pair,CAF × UEFA,8,1,12.5
2018,confederation_pair,CONCACAF × CONMEBOL,2,0,0.0
2018,confederation_pair,CONCACAF × UEFA,6,1,16.67
2018,confederation_pair,CONMEBOL × UEFA,13,3,23.08
2018,confederation_pair,UEFA × UEFA,15,6,40.0
2022,competition_phase,group,48,10,20.83
2022,competition_phase,knockout,16,5,31.25
2022,group_matchday,1,16,5,31.25
2022,group_matchday,2,16,4,25.0
2022,group_matchday,3,16,1,6.25
2022,group_matchday,not_group,16,5,31.25
2022,same_confederation,N,56,13,23.21
2022,same_confederation,Y,8,2,25.0
2022,same_continent,N,56,13,23.21
2022,same_continent,Y,8,2,25.0
2022,host_involved,N,61,15,24.59
2022,host_involved,Y,3,0,0.0
2022,confederation_pair,AFC × CAF,3,0,0.0
2022,confederation_pair,AFC × CONCACAF,3,0,0.0
2022,confederation_pair,AFC × CONMEBOL,5,1,20.0
2022,confederation_pair,AFC × UEFA,10,1,10.0
2022,confederation_pair,CAF × CONCACAF,1,0,0.0
2022,confederation_pair,CAF × CONMEBOL,3,0,0.0
2022,confederation_pair,CAF × UEFA,13,4,30.77
2022,confederation_pair,CONCACAF × CONMEBOL,1,0,0.0
2022,confederation_pair,CONCACAF × UEFA,8,3,37.5
2022,confederation_pair,CONMEBOL × UEFA,9,4,44.44
2022,confederation_pair,UEFA × UEFA,8,2,25.0
2026,competition_phase,group,72,20,27.78
2026,competition_phase,knockout,32,9,28.12
2026,group_matchday,1,24,9,37.5
2026,group_matchday,2,24,5,20.83
2026,group_matchday,3,24,6,25.0
2026,group_matchday,not_group,32,9,28.12
2026,same_confederation,N,92,28,30.43
2026,same_confederation,Y,12,1,8.33
2026,same_continent,N,92,28,30.43
2026,same_continent,Y,12,1,8.33
2026,host_involved,N,89,28,31.46
2026,host_involved,Y,15,1,6.67
2026,confederation_pair,AFC × CAF,8,3,37.5
2026,confederation_pair,AFC × CONCACAF,3,0,0.0
2026,confederation_pair,AFC × CONMEBOL,5,2,40.0
2026,confederation_pair,AFC × OFC,1,1,100.0
2026,confederation_pair,AFC × UEFA,12,4,33.33
2026,confederation_pair,CAF × CONCACAF,6,0,0.0
2026,confederation_pair,CAF × CONMEBOL,8,3,37.5
2026,confederation_pair,CAF × OFC,1,0,0.0
2026,confederation_pair,CAF × UEFA,19,8,42.11
2026,confederation_pair,CONCACAF × CONMEBOL,4,1,25.0
2026,confederation_pair,CONCACAF × UEFA,11,1,9.09
2026,confederation_pair,CONMEBOL × UEFA,13,5,38.46
2026,confederation_pair,OFC × UEFA,1,0,0.0
2026,confederation_pair,UEFA × UEFA,12,1,8.33
