year,segment,matches,draws_regular,draw_rate_pct,ci95_low_pct,ci95_high_pct
2010,all,64,18,28.12,18.59,40.13
2010,group_all,48,14,29.17,18.24,43.18
2010,group_md1,16,6,37.5,18.48,61.36
2010,group_md2,16,4,25.0,10.18,49.5
2010,group_md3,16,4,25.0,10.18,49.5
2010,knockout_all,16,4,25.0,10.18,49.5
2014,all,64,17,26.56,17.3,38.48
2014,group_all,48,9,18.75,10.19,31.94
2014,group_md1,16,2,12.5,3.5,36.02
2014,group_md2,16,4,25.0,10.18,49.5
2014,group_md3,16,3,18.75,6.59,43.01
2014,knockout_all,16,8,50.0,28.0,72.0
2018,all,64,14,21.88,13.5,33.43
2018,group_all,48,9,18.75,10.19,31.94
2018,group_md1,16,3,18.75,6.59,43.01
2018,group_md2,16,2,12.5,3.5,36.02
2018,group_md3,16,4,25.0,10.18,49.5
2018,knockout_all,16,5,31.25,14.16,55.6
2022,all,64,15,23.44,14.75,35.13
2022,group_all,48,10,20.83,11.73,34.26
2022,group_md1,16,5,31.25,14.16,55.6
2022,group_md2,16,4,25.0,10.18,49.5
2022,group_md3,16,1,6.25,1.11,28.33
2022,knockout_all,16,5,31.25,14.16,55.6
2026,all,104,29,27.88,20.17,37.17
2026,group_all,72,20,27.78,18.76,39.05
2026,group_md1,24,9,37.5,21.16,57.29
2026,group_md2,24,5,20.83,9.24,40.47
2026,group_md3,24,6,25.0,12.0,44.9
2026,knockout_all,32,9,28.12,15.56,45.37
