polymarket_name,standard_name,country_code,country_zh,confederation,continent,fifa_ranking,is_host
Algeria,Algeria,ALG,阿尔及利亚,CAF,Africa,28,N
Argentina,Argentina,ARG,阿根廷,CONMEBOL,South America,1,N
Australia,Australia,AUS,澳大利亚,AFC,Oceania,27,N
Austria,Austria,AUT,奥地利,UEFA,Europe,24,N
Belgium,Belgium,BEL,比利时,UEFA,Europe,9,N
Bosnia-Herzegovina,Bosnia and Herzegovina,BIH,波黑,UEFA,Europe,64,N
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,波黑,UEFA,Europe,64,N
Brazil,Brazil,BRA,巴西,CONMEBOL,South America,6,N
Cabo Verde,Cabo Verde,CPV,佛得角,CAF,Africa,67,N
Canada,Canada,CAN,加拿大,CONCACAF,North America,30,Y
Colombia,Colombia,COL,哥伦比亚,CONMEBOL,South America,13,N
Croatia,Croatia,HRV,克罗地亚,UEFA,Europe,11,N
Curaçao,Curaçao,CUW,库拉索,CONCACAF,North America,82,N
Côte d'Ivoire,Côte d'Ivoire,CIV,科特迪瓦,CAF,Africa,33,N
Czechia,Czechia,CZE,捷克,UEFA,Europe,40,N
DR Congo,DR Congo,COD,刚果民主共和国,CAF,Africa,46,N
Ecuador,Ecuador,ECU,厄瓜多尔,CONMEBOL,South America,23,N
Egypt,Egypt,EGY,埃及,CAF,Africa,29,N
England,England,ENG,英格兰,UEFA,Europe,4,N
France,France,FRA,法国,UEFA,Europe,3,N
Germany,Germany,GER,德国,UEFA,Europe,10,N
Ghana,Ghana,GHA,加纳,CAF,Africa,73,N
Haiti,Haiti,HTI,海地,CONCACAF,North America,83,N
IR Iran,IR Iran,IRN,伊朗,AFC,Asia,20,N
Iraq,Iraq,IRQ,伊拉克,AFC,Asia,57,N
Japan,Japan,JPN,日本,AFC,Asia,18,N
Jordan,Jordan,JOR,约旦,AFC,Asia,63,N
Korea Republic,Korea Republic,KOR,韩国,AFC,Asia,25,N
Mexico,Mexico,MEX,墨西哥,CONCACAF,North America,14,Y
Morocco,Morocco,MAR,摩洛哥,CAF,Africa,7,N
Netherlands,Netherlands,NED,荷兰,UEFA,Europe,8,N
New Zealand,New Zealand,NZL,新西兰,OFC,Oceania,85,N
Norway,Norway,NOR,挪威,UEFA,Europe,31,N
Panama,Panama,PAN,巴拿马,CONCACAF,North America,34,N
Paraguay,Paraguay,PAR,巴拉圭,CONMEBOL,South America,41,N
Portugal,Portugal,POR,葡萄牙,UEFA,Europe,5,N
Qatar,Qatar,QAT,卡塔尔,AFC,Asia,56,N
Saudi Arabia,Saudi Arabia,KSA,沙特阿拉伯,AFC,Asia,61,N
Scotland,Scotland,SCO,苏格兰,UEFA,Europe,42,N
Senegal,Senegal,SEN,塞内加尔,CAF,Africa,15,N
South Africa,South Africa,RSA,南非,CAF,Africa,60,N
Spain,Spain,ESP,西班牙,UEFA,Europe,2,N
Sweden,Sweden,SWE,瑞典,UEFA,Europe,38,N
Switzerland,Switzerland,SUI,瑞士,UEFA,Europe,19,N
Tunisia,Tunisia,TUN,突尼斯,CAF,Africa,45,N
Türkiye,Türkiye,TUR,土耳其,UEFA,Europe,22,N
United States,United States,USA,美国,CONCACAF,North America,17,Y
Uruguay,Uruguay,URU,乌拉圭,CONMEBOL,South America,16,N
Uzbekistan,Uzbekistan,UZB,乌兹别克斯坦,AFC,Asia,50,N
