event_id,title,home_team,away_team,event_slug,kickoff_utc,kickoff_beijing,target_pre1h_utc,final_score,result_regular,home_15_label,home_15_yes_price,home_15_no_price,home_15_yes_quality,home_15_no_quality,home_15_yes_trade_count,home_15_no_trade_count,home_15_yes_price_age,home_15_no_price_age,home_15_method,home_15_settled_yes,away_15_label,away_15_yes_price,away_15_no_price,away_15_yes_quality,away_15_no_quality,away_15_yes_trade_count,away_15_no_trade_count,away_15_yes_price_age,away_15_no_price_age,away_15_method,away_15_settled_yes,home_25_label,home_25_yes_price,home_25_no_price,home_25_yes_quality,home_25_no_quality,home_25_yes_trade_count,home_25_no_trade_count,home_25_yes_price_age,home_25_no_price_age,home_25_method,home_25_settled_yes,away_25_label,away_25_yes_price,away_25_no_price,away_25_yes_quality,away_25_no_quality,away_25_yes_trade_count,away_25_no_trade_count,away_25_yes_price_age,away_25_no_price_age,away_25_method,away_25_settled_yes
351715,Mexico vs. South Africa,Mexico,South Africa,fifwc-mex-rsa-2026-06-11,2026-06-11T19:00:00+00:00,2026-06-12 03:00,2026-06-11T18:00:00+00:00,2-0,home,主让1.5,0.40995404,0.6,high,medium,5,21,17,72,data_api_vwap_3m_pre_anchor,1,客让1.5(主受让1.5),0.02645458,0.97317431,fair,fair,14,4,389,840,data_api_vwap_1h_pre_anchor,0,主让2.5,0.19989285,0.81,fair,fair,28,23,342,680,data_api_vwap_1h_pre_anchor,0,客让2.5(主受让2.5),0.01122176,0.99398369,fair,fair,8,10,840,1764,data_api_vwap_1h_pre_anchor,0
351716,Korea Republic vs. Czechia,Korea Republic,Czechia,fifwc-kr-cze-2026-06-11,2026-06-12T02:00:00+00:00,2026-06-12 10:00,2026-06-12T01:00:00+00:00,2-1,home,主让1.5,0.16999999,0.84,fair,medium,15,4,320,152,data_api_vwap_1h_pre_anchor,0,客让1.5(主受让1.5),0.13,0.88,medium,fair,3,14,17,132,data_api_vwap_10m_pre_anchor,0,主让2.5,0.05765387,0.94984965,fair,fair,9,7,698,1466,data_api_vwap_1h_pre_anchor,0,客让2.5(主受让2.5),0.0361337,0.96323113,fair,fair,5,11,351,414,data_api_vwap_1h_pre_anchor,0
351717,Canada vs. Bosnia-Herzegovina,Canada,Bosnia-Herzegovina,fifwc-can-bih-2026-06-12,2026-06-12T19:00:00+00:00,2026-06-13 03:00,2026-06-12T18:00:00+00:00,1-1,draw,主让1.5,0.2699126,0.74,medium,high,5,3,200,9,data_api_vwap_10m_pre_anchor,0,客让1.5(主受让1.5),0.05999999,0.95,fair,fair,11,5,11,83,data_api_vwap_1h_pre_anchor,0,主让2.5,0.10216966,0.89988835,fair,high,27,3,1089,27,data_api_vwap_1h_pre_anchor,0,客让2.5(主受让2.5),0.02,0.98401182,low,medium,1,4,2207,440,data_api_last_trade_24h_pre_anchor,0
351718,United States vs. Paraguay,United States,Paraguay,fifwc-usa-par-2026-06-12,2026-06-13T01:00:00+00:00,2026-06-13 09:00,2026-06-13T00:00:00+00:00,4-1,home,主让1.5,0.23,0.77915462,high,fair,57,56,0,393,data_api_vwap_3m_pre_anchor,1,客让1.5(主受让1.5),0.08,0.93,medium,fair,3,4,308,456,data_api_vwap_10m_pre_anchor,0,主让2.5,0.09,0.92,high,fair,5,5,57,131,data_api_vwap_3m_pre_anchor,1,客让2.5(主受让2.5),0.01809948,0.98311188,fair,fair,3,15,1367,18,data_api_vwap_1h_pre_anchor,0
351719,Qatar vs. Switzerland,Qatar,Switzerland,fifwc-qat-che-2026-06-13,2026-06-13T19:00:00+00:00,2026-06-14 03:00,2026-06-13T18:00:00+00:00,1-1,draw,主让1.5,0.01878126,0.98500012,fair,high,14,10,165,143,data_api_vwap_1h_pre_anchor,0,客让1.5(主受让1.5),0.60134222,0.4,high,medium,5,30,0,59,data_api_vwap_3m_pre_anchor,0,主让2.5,0.006,0.997003,low,low,1,1,5843,2898,data_api_last_trade_24h_pre_anchor,0,客让2.5(主受让2.5),0.35,0.6543767,medium,fair,4,37,167,125,data_api_vwap_10m_pre_anchor,0
351720,Brazil vs. Morocco,Brazil,Morocco,fifwc-bra-mar-2026-06-13,2026-06-13T22:00:00+00:00,2026-06-14 06:00,2026-06-13T21:00:00+00:00,1-1,draw,主让1.5,0.31521978,0.69998791,high,fair,7,12,11,504,data_api_vwap_3m_pre_anchor,0,客让1.5(主受让1.5),0.05000003,0.95289301,fair,fair,4,9,2246,201,data_api_vwap_1h_pre_anchor,0,主让2.5,0.14,0.86969348,fair,fair,23,10,14,687,data_api_vwap_1h_pre_anchor,0,客让2.5(主受让2.5),0.017,0.989,low,low,1,1,11145,3131,data_api_last_trade_24h_pre_anchor,0
351721,Haiti vs. Scotland,Haiti,Scotland,fifwc-hai-sco-2026-06-13,2026-06-14T01:00:00+00:00,2026-06-14 09:00,2026-06-14T00:00:00+00:00,0-1,away,主让1.5,0.04863104,0.95000541,fair,fair,13,6,2030,3066,data_api_vwap_1h_pre_anchor,0,客让1.5(主受让1.5),0.3996524,0.61,high,medium,6,9,5,366,data_api_vwap_3m_pre_anchor,0,主让2.5,0.019,0.986,low,fair,1,4,4719,1782,data_api_last_trade_24h_pre_anchor,0,客让2.5(主受让2.5),0.21,0.8,medium,fair,8,5,258,269,data_api_vwap_10m_pre_anchor,0
351722,Australia vs. Türkiye,Australia,Türkiye,fifwc-aus-tur-2026-06-14,2026-06-14T04:00:00+00:00,2026-06-14 12:00,2026-06-14T03:00:00+00:00,2-0,home,主让1.5,0.05999997,0.95,low,fair,1,4,105,410,data_api_last_trade_24h_pre_anchor,1,客让1.5(主受让1.5),0.32,0.68999999,high,high,3,4,21,12,data_api_vwap_3m_pre_anchor,0,主让2.5,0.01,0.99464392,low,fair,1,4,2096,2186,data_api_last_trade_24h_pre_anchor,0,客让2.5(主受让2.5),0.13999999,0.87,low,medium,1,4,2864,47,data_api_last_trade_24h_pre_anchor,0
351723,Germany vs. Curaçao,Germany,Curaçao,fifwc-ger-kor-2026-06-14,2026-06-14T17:00:00+00:00,2026-06-15 01:00,2026-06-14T16:00:00+00:00,7-1,home,主让1.5,0.87994331,0.13,medium,medium,6,5,110,395,data_api_vwap_10m_pre_anchor,1,客让1.5(主受让1.5),0.00875185,0.99708938,fair,fair,7,14,164,1595,data_api_vwap_1h_pre_anchor,0,主让2.5,0.73858826,0.27,medium,high,10,3,2,9,data_api_vwap_10m_pre_anchor,1,客让2.5(主受让2.5),0.00772564,0.998,fair,low,3,1,608,22269,data_api_vwap_1h_pre_anchor,0
351724,Netherlands vs. Japan,Netherlands,Japan,fifwc-nld-jpn-2026-06-14,2026-06-14T20:00:00+00:00,2026-06-15 04:00,2026-06-14T19:00:00+00:00,2-2,draw,主让1.5,0.23990211,0.7699863,high,high,3,22,3,8,data_api_vwap_3m_pre_anchor,0,客让1.5(主受让1.5),0.1,0.91,medium,fair,4,5,177,348,data_api_vwap_10m_pre_anchor,0,主让2.5,0.09,0.92,fair,high,4,4,54,24,data_api_vwap_1h_pre_anchor,0,客让2.5(主受让2.5),0.02722859,0.975,fair,medium,15,4,170,201,data_api_vwap_1h_pre_anchor,0
