match_number,date,kickoff_utc,kickoff_beijing,stage,stage_order,competition_phase,group_code,home_team,away_team,stadium,host_city
1,2026-06-11,2026-06-11T19:00:00Z,2026-06-12 03:00,group-stage,1,group,A,Mexico,South Africa,Estadio Azteca,mexico-city
2,2026-06-11,2026-06-12T02:00:00Z,2026-06-12 10:00,group-stage,1,group,A,Korea Republic,Czechia,Estadio Akron,guadalajara
3,2026-06-12,2026-06-12T19:00:00Z,2026-06-13 03:00,group-stage,1,group,B,Canada,Bosnia and Herzegovina,BMO Field,toronto
4,2026-06-12,2026-06-13T01:00:00Z,2026-06-13 09:00,group-stage,1,group,D,United States,Paraguay,SoFi Stadium,los-angeles
5,2026-06-13,2026-06-14T01:00:00Z,2026-06-14 09:00,group-stage,1,group,C,Haiti,Scotland,Gillette Stadium,boston
6,2026-06-13,2026-06-14T04:00:00Z,2026-06-14 12:00,group-stage,1,group,D,Australia,Turkiye,BC Place,vancouver
7,2026-06-13,2026-06-13T22:00:00Z,2026-06-14 06:00,group-stage,1,group,C,Brazil,Morocco,MetLife Stadium,new-york
8,2026-06-13,2026-06-13T19:00:00Z,2026-06-14 03:00,group-stage,1,group,B,Qatar,Switzerland,Levi's Stadium,san-francisco
9,2026-06-14,2026-06-14T23:00:00Z,2026-06-15 07:00,group-stage,1,group,E,Cote d'Ivoire,Ecuador,Lincoln Financial Field,philadelphia
10,2026-06-14,2026-06-14T17:00:00Z,2026-06-15 01:00,group-stage,1,group,E,Germany,Curacao,NRG Stadium,houston
11,2026-06-14,2026-06-14T20:00:00Z,2026-06-15 04:00,group-stage,1,group,F,Netherlands,Japan,AT&T Stadium,dallas
12,2026-06-14,2026-06-15T02:00:00Z,2026-06-15 10:00,group-stage,1,group,F,Sweden,Tunisia,Estadio BBVA,monterrey
13,2026-06-15,2026-06-15T22:00:00Z,2026-06-16 06:00,group-stage,1,group,H,Saudi Arabia,Uruguay,Hard Rock Stadium,miami
14,2026-06-15,2026-06-15T16:00:00Z,2026-06-16 00:00,group-stage,1,group,H,Spain,Cabo Verde,Mercedes-Benz Stadium,atlanta
15,2026-06-15,2026-06-16T01:00:00Z,2026-06-16 09:00,group-stage,1,group,G,IR Iran,New Zealand,SoFi Stadium,los-angeles
16,2026-06-15,2026-06-15T19:00:00Z,2026-06-16 03:00,group-stage,1,group,G,Belgium,Egypt,Lumen Field,seattle
17,2026-06-16,2026-06-16T19:00:00Z,2026-06-17 03:00,group-stage,1,group,I,France,Senegal,MetLife Stadium,new-york
18,2026-06-16,2026-06-16T22:00:00Z,2026-06-17 06:00,group-stage,1,group,I,Iraq,Norway,Gillette Stadium,boston
19,2026-06-16,2026-06-17T01:00:00Z,2026-06-17 09:00,group-stage,1,group,J,Argentina,Algeria,Arrowhead Stadium,kansas-city
20,2026-06-16,2026-06-17T04:00:00Z,2026-06-17 12:00,group-stage,1,group,J,Austria,Jordan,Levi's Stadium,san-francisco
21,2026-06-17,2026-06-17T23:00:00Z,2026-06-18 07:00,group-stage,1,group,L,Ghana,Panama,BMO Field,toronto
22,2026-06-17,2026-06-17T20:00:00Z,2026-06-18 04:00,group-stage,1,group,L,England,Croatia,AT&T Stadium,dallas
23,2026-06-17,2026-06-17T17:00:00Z,2026-06-18 01:00,group-stage,1,group,K,Portugal,Congo DR,NRG Stadium,houston
24,2026-06-17,2026-06-18T02:00:00Z,2026-06-18 10:00,group-stage,1,group,K,Uzbekistan,Colombia,Estadio Azteca,mexico-city
25,2026-06-18,2026-06-18T16:00:00Z,2026-06-19 00:00,group-stage,1,group,A,Czechia,South Africa,Mercedes-Benz Stadium,atlanta
26,2026-06-18,2026-06-18T19:00:00Z,2026-06-19 03:00,group-stage,1,group,B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,los-angeles
27,2026-06-18,2026-06-18T22:00:00Z,2026-06-19 06:00,group-stage,1,group,B,Canada,Qatar,BC Place,vancouver
28,2026-06-18,2026-06-19T01:00:00Z,2026-06-19 09:00,group-stage,1,group,A,Mexico,Korea Republic,Estadio Akron,guadalajara
29,2026-06-19,2026-06-20T01:00:00Z,2026-06-20 09:00,group-stage,1,group,C,Brazil,Haiti,Lincoln Financial Field,philadelphia
30,2026-06-19,2026-06-19T22:00:00Z,2026-06-20 06:00,group-stage,1,group,C,Scotland,Morocco,Gillette Stadium,boston
31,2026-06-19,2026-06-20T03:00:00Z,2026-06-20 11:00,group-stage,1,group,D,Turkiye,Paraguay,Levi's Stadium,san-francisco
32,2026-06-19,2026-06-19T19:00:00Z,2026-06-20 03:00,group-stage,1,group,D,United States,Australia,Lumen Field,seattle
33,2026-06-20,2026-06-20T20:00:00Z,2026-06-21 04:00,group-stage,1,group,E,Germany,Cote d'Ivoire,BMO Field,toronto
34,2026-06-20,2026-06-21T00:00:00Z,2026-06-21 08:00,group-stage,1,group,E,Ecuador,Curacao,Arrowhead Stadium,kansas-city
35,2026-06-20,2026-06-20T17:00:00Z,2026-06-21 01:00,group-stage,1,group,F,Netherlands,Sweden,NRG Stadium,houston
36,2026-06-20,2026-06-21T04:00:00Z,2026-06-21 12:00,group-stage,1,group,F,Tunisia,Japan,Estadio BBVA,monterrey
37,2026-06-21,2026-06-21T22:00:00Z,2026-06-22 06:00,group-stage,1,group,H,Uruguay,Cabo Verde,Hard Rock Stadium,miami
38,2026-06-21,2026-06-21T16:00:00Z,2026-06-22 00:00,group-stage,1,group,H,Spain,Saudi Arabia,Mercedes-Benz Stadium,atlanta
39,2026-06-21,2026-06-21T19:00:00Z,2026-06-22 03:00,group-stage,1,group,G,Belgium,IR Iran,SoFi Stadium,los-angeles
40,2026-06-21,2026-06-22T01:00:00Z,2026-06-22 09:00,group-stage,1,group,G,New Zealand,Egypt,BC Place,vancouver
41,2026-06-22,2026-06-23T00:00:00Z,2026-06-23 08:00,group-stage,1,group,I,Norway,Senegal,MetLife Stadium,new-york
42,2026-06-22,2026-06-22T21:00:00Z,2026-06-23 05:00,group-stage,1,group,I,France,Iraq,Lincoln Financial Field,philadelphia
43,2026-06-22,2026-06-22T17:00:00Z,2026-06-23 01:00,group-stage,1,group,J,Argentina,Austria,AT&T Stadium,dallas
44,2026-06-22,2026-06-23T03:00:00Z,2026-06-23 11:00,group-stage,1,group,J,Jordan,Algeria,Levi's Stadium,san-francisco
